Dataset,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,,Dataset 8,,Dataset 9,,Dataset 10,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.194895592,0.498269896,2.986111111,0.006944444,1.909722222,0.007017544,2.986111111,-0.003521127,3.464203233,0.003508772,0.902777778,0.043165468,2.11136891,0.450909091,0.925925926,0.058394161,2.124711316,0.077192982,1.786542923,0.007194245
2.993039443,0.010380623,4.097222222,0.086805556,3.784722222,0.336842105,4.166666667,0.088028169,6.096997691,0.256140351,1.273148148,0.26618705,2.250580046,0.530909091,1.111111111,0.175182482,2.240184758,0.112280702,2.575406032,0.115107914
4.106728538,0.08650519,5.138888889,0.270833333,4.201388889,0.477192982,5.173611111,0.264084507,6.23556582,0.277192982,1.342592593,0.345323741,2.668213457,0.741818182,1.273148148,0.313868613,2.586605081,0.273684211,3.178654292,0.28057554
5.150812065,0.269896194,5.277777778,0.291666667,4.270833333,0.498245614,5.277777778,0.292253521,6.82448037,0.396491228,1.458333333,0.446043165,3.317865429,0.901818182,1.319444444,0.343065693,2.702078522,0.322807018,3.317865429,0.316546763
5.255220418,0.294117647,5.9375,0.4375,4.722222222,0.645614035,5.9375,0.433098592,6.997690531,0.442105263,1.574074074,0.535971223,2.180974478,0.501818182,1.342592593,0.372262774,2.794457275,0.392982456,3.549883991,0.402877698
5.881670534,0.435986159,7.361111111,0.711805556,5.729166667,0.856140351,7.430555556,0.714788732,8.071593533,0.642105263,1.643518519,0.575539568,1.415313225,0.101818182,1.550925926,0.562043796,2.886836028,0.428070175,3.689095128,0.45323741
7.378190255,0.716262976,7.881944444,0.784722222,,,7.916666667,0.785211268,8.76443418,0.750877193,1.736111111,0.665467626,1.740139211,0.247272727,1.62037037,0.605839416,3.025404157,0.505263158,4.292343387,0.618705036
7.865429234,0.778546713,8.854166667,0.878472222,,,8.854166667,0.876760563,9.284064665,0.807017544,2.037037037,0.820143885,,,1.759259259,0.700729927,3.210161663,0.610526316,4.570765661,0.690647482
8.839907193,0.875432526,6.215277778,0.5,,,6.284722222,0.5,10.3926097,0.901754386,2.175925926,0.863309353,,,1.898148148,0.788321168,3.441108545,0.701754386,5.823665893,0.877697842
,,,,,,,,7.344110855,0.498245614,1.527777778,0.5,,,2.037037037,0.846715328,3.810623557,0.835087719,6.844547564,0.949640288
,,,,,,,,,,,,,,2.152777778,0.883211679,4.272517321,0.933333333,3.874709977,0.5
,,,,,,,,,,,,,,2.314814815,0.916058394,4.919168591,0.975438596,,
,,,,,,,,,,,,,,1.481481481,0.5,,,,
